date_o,sales,promo,oil price,Holiday,transactions,cluster
2013-01-01,0.0,0,93.14,False,0.0,
2013-01-02,24060.347999999998,0,93.14,False,3487.0,
2013-01-03,18570.745025,0,92.97,False,3026.0,
2013-01-04,17392.097995,0,93.12,False,3188.0,
2013-01-05,22700.872005,0,93.2,False,3623.0,
2013-01-06,25343.62,0,93.2,False,3590.0,
2013-01-07,17036.253,0,93.2,False,2996.0,
2013-01-08,14220.417,0,93.21,False,2826.0,
2013-01-09,14735.148,0,93.08,False,2932.0,
2013-01-10,12222.912,0,93.81,False,2649.0,
2013-01-11,14997.530999999999,0,93.6,False,2954.0,
2013-01-12,20103.025,0,94.27,False,3407.0,
2013-01-13,20230.129,0,94.27,False,3217.0,
2013-01-14,14202.92,0,94.27,False,2785.0,
2013-01-15,13860.338,0,93.26,False,2757.0,
2013-01-16,16888.118,0,94.28,False,3108.0,
2013-01-17,12990.798999999999,0,95.49,False,2653.0,
2013-01-18,15057.814,0,95.61,False,2936.0,
2013-01-19,20455.317,0,96.09,False,3453.0,
2013-01-20,23949.60594,0,96.09,False,3466.0,
2013-01-21,14969.83298,0,96.09,False,2930.0,
2013-01-22,12857.139024,0,96.09,False,2721.0,
2013-01-23,13462.717999999999,0,95.06,False,2911.0,
2013-01-24,11454.688,0,95.35,False,2503.0,
2013-01-25,14203.426996,0,95.15,False,2943.0,
2013-01-26,19341.873,0,95.95,False,3394.0,
2013-01-27,20460.71,0,95.95,False,3355.0,
2013-01-28,12925.501,0,95.95,False,2681.0,
2013-01-29,12254.652,0,97.62,False,2630.0,
2013-01-30,13820.57,0,97.98,False,3035.0,
2013-01-31,11805.16002,0,97.65,False,2790.0,
2013-02-01,17541.63003,0,97.46,False,3230.0,
2013-02-02,22277.422,0,96.21,False,3648.0,
2013-02-03,22186.131,0,96.21,False,3391.0,
2013-02-04,13904.785,0,96.21,False,2779.0,
2013-02-05,13021.956044,0,96.68,False,2804.0,
2013-02-06,14888.492,0,96.44,False,2984.0,
